FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,SEX_ID,SEX_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,AGG_METHOD_ID,AGG_METHOD_NAME,DECIMALS_ID,DECIMALS_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,COMMENT_TS,UNIT_MULT_ID,UNIT_MULT_NAME,DATA_SOURCE_ID,DATA_SOURCE_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,65.53769906515602,65.6923382026862,65.85132707601927,65.9308834465054,66.13733170742715,66.3343071306651,66.3274988332996,66.23818253947918,66.22135260328398,66.23985526065042,66.26009874726239,66.27387057458107,66.35390552763619,66.44015795163442,66.47926451161436,66.52541047956487,66.37407946532011,66.13387216351408,65.88168413257192,65.51175667186011,64.774448778109,65.32562474003893,65.16964139635354,65.12264311361369,64.1610670530279,63.71232468915944,63.12077924780942,62.39547389988615,61.84046855965678,61.35699336677184,59.77300963032874,60.2795457663933,60.44514406114718,64.0752066478055
A,Annual,AFG,Afghanistan,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,15.789,15.74,15.66,15.544,15.393,15.226,15.044,14.848,14.653,14.471,14.321,14.223,14.177,14.178,14.228,14.323,14.472,14.686,14.957,15.256,15.576,15.895,16.208,17.138,18.107,19.113,20.156,21.24,19.808,18.304,16.473,14.666,5.159,5.155
A,Annual,AFW,Africa Western and Central,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,69.94013689202443,69.93172282655439,69.81322854553461,69.77921856983211,69.73839299959444,69.67772122594862,69.57907285010047,69.49287313809448,69.40706704681489,69.40180316373683,69.35713073416137,69.2955026385912,69.15379753901327,69.0278990882644,68.90671842275033,68.76926318700289,68.6364650099848,68.54641609031125,68.31939917447734,68.0717746397799,67.82694125161646,67.69748129978316,67.4965521298201,67.14114927848907,66.78181122784261,66.46139030388063,66.2334552197649,65.72373153316148,65.42507282094567,65.17822376373765,64.43911066126356,64.78000316633099,64.7385209779595,66.34934490106477
A,Annual,AGO,Angola,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,75.607,75.572,75.54,75.513,75.492,75.481,75.48,75.486,75.498,75.513,75.531,75.551,75.57,75.589,75.606,75.618,75.626,75.631,75.631,75.626,75.621,74.865,74.633,74.401,74.167,73.933,73.698,73.461,73.224,72.985,72.731,74.695,73.179,73.224
A,Annual,ALB,Albania,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,50.846,53.407,54.036,53.204,52.514,51.521,50.88,51.71,51.086,50.266,49.849,49.353,49.088,48.461,47.845,47.242,46.652,46.076,45.513,45.955,46.835,52.561,48.937,43.783,43.958,47.116,49.888,49.736,51.407,52.93,50.616,51.887,53.183,53.207
A,Annual,ARB,Arab World,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,19.36299545800822,19.45648304596563,19.83704897099352,19.76409433126833,20.12906226756835,19.97030198414634,19.9051858483763,19.73022061913416,19.5938806545492,20.05163293582348,20.09675387004843,19.96255861231779,19.26072193070088,19.44620316218356,19.60894767516924,19.78760283217961,20.03544143579034,20.61618403690587,20.23438044099364,20.54190436671267,20.71491991032301,20.74983161687127,20.52391188612173,20.64184916177092,20.73389906656184,20.68137464627139,20.71537218893529,19.8906268280804,18.8862996645485,18.29250064667987,17.79066781999038,18.03054705044223,17.88640142513923,18.27177688509136
A,Annual,ARE,United Arab Emirates,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,29.351,30.001,30.413,31.005,31.114,31.249,31.844,32.317,32.821,33.363,33.936,34.532,35.171,35.833,36.496,37.187,38.33,39.537,40.728,41.818,42.886,43.962,45.013,46.08,47.143,48.192,49.233,50.926,51.312,54.382,58.18,50.452,53.057,53.475
A,Annual,ARG,Argentina,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,43.085,44.631,46.086,47.569,48.693,48.506,49.466,50.736,51.335,50.776,50.552,49.745,47.873,48.903,49.963,49.098,49.738,48.902,48.064,48.788,47.689,47.947,48.055,47.641,47.418,47.498,47.582,47.666,49.146,50.0,46.486,50.26,51.868,52.957
A,Annual,ARM,Armenia,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,58.887,58.814,58.567,58.127,57.598,57.061,56.579,56.14,55.831,55.688,55.615,55.427,55.106,54.804,54.551,54.364,54.279,54.34,54.378,55.183,55.414,55.516,55.535,55.634,55.751,55.872,55.962,56.038,56.015,57.831,57.865,58.289,56.853,56.786
A,Annual,AUS,Australia,WB_WDI_SL_TLF_CACT_FE_ZS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",F,Female,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,52.307,52.038,51.996,51.77,52.67,53.675,53.859,53.66,53.721,53.727,54.618,55.158,55.355,56.013,55.774,57.048,57.582,58.135,58.603,58.792,58.676,58.931,58.833,58.739,58.704,59.151,59.381,59.877,60.523,60.959,60.205,61.273,62.314,62.374
